6km NE ? Little Lake, CA
91km N ? Road Town, British Virgin Islands
105km N ? Vieques, Puerto Rico
25km E ? Honaunau-Napoopoo, Hawaii
89km N ? Redoubt Volcano, Alaska
23km NNW ? Borrego Springs, CA
10km NNW ? Incline Village, Nevada
20km NW ? Hawthorne, Nevada
16km ESE ? Julian, CA
148km SE ? Akutan, Alaska
Reykjanes Ridge
6km NE ? Little Lake, CA
118km NE ? Calama, Chile
6km NE ? Little Lake, CA
31km WNW ? Anchorage, Alaska
4km SSW ? Volcano, Hawaii
6km WNW ? The Geysers, California
7km E ? Mammoth Lakes, California
8km SE ? Caldwell, Kansas
Reykjanes Ridge
19km S ? Indios, Puerto Rico
21km WSW ? Mendota, California
13km SSE ? Manila, Arkansas
4km NW ? The Geysers, California
7km ESE ? Mammoth Lakes, California
76km NW ? New Allakaket, Alaska
94km WSW ? Cantwell, Alaska
8km ESE ? Mammoth Lakes, California
7km ESE ? Mammoth Lakes, California
7km ESE ? Mammoth Lakes, California
7km ESE ? Mammoth Lakes, California
7km E ? Mammoth Lakes, California
7km E ? Mammoth Lakes, California
7km E ? Mammoth Lakes, California
8km ESE ? Mammoth Lakes, California
4km NNE ? Lemmon Valley, Nevada
37km SSE ? Morton, Washington
148km NW ? Arawa, Papua New Guinea
11km ESE ? Sterling, Alaska
29km NNW ? Packwood, Washington
10km WSW ? Redwood Valley, California
58km W ? Valdez, Alaska
4km WNW ? Helena Valley Northwest, Montana
127km W ? Cantwell, Alaska
18km NNW ? Beaver Dam, Arizona
35km SSE ? Old Faithful Geyser, Wyoming
5km NNW ? Marion, Arkansas
21km NNE ? Y, Alaska
162km NW ? Tobelo, Indonesia
9km NE ? Aguanga, CA
6km NW ? The Geysers, California
53km SW ? Homer, Alaska
5km S ? Volcano, Hawaii
11km ENE ? Cloverdale, California
37km WSW ? Tieton, Washington
36km NW ? Valdez, Alaska
15km WSW ? Portola, California
20km ESE ? Sutton-Alpine, Alaska
12km NE ? Coachella, CA
1km ESE ? Mammoth Lakes, California
3km E ? Kingsbury, Nevada
67km ESE ? Lakeview, Oregon
2km SE ? The Geysers, California
